season,name,team,Position,Cap.Hit.Pct.League.Cap,GF/60,xGF/60,Off. Zone Faceoffs/60,TOI,LDGF/60,Off. Zone Faceoff %,globalMoneyScore
20112012,Dominic Moore,TBL,C,0.0171,0.11111111111111112,0.312210200927357,0.325609756097561,0.5086334414875913,0.09971910112359551,0.3962,0.37487143988398625
20112012,Brian Boyle,NYR,C,0.0264,0.13952020202020202,0.41112828438948995,0.28463414634146345,0.517895901154418,0.04915730337078652,0.2724,0.3748279084506836
20112012,Sheldon Brookbank,ANA,D,0.0117,0.13068181818181818,0.2936630602782071,0.31878048780487805,0.5174466024746641,0.06882022471910113,0.4153,0.37481252528174214
20162017,Tomas Hertl,SJS,C,0.0411,0.14330808080808083,0.47140649149922714,0.49243902439024395,0.34969931569788487,0.07162921348314608,0.5081,0.3747728104288092
20162017,Kevan Miller,BOS,D,0.0342,0.12815656565656566,0.357032457496136,0.4295121951219512,0.42773208004431773,0.0702247191011236,0.4975,0.37477138953493294
20202021,Jack Eichel,BUF,C,0.1227,0.2196969696969697,0.517774343122102,0.6560975609756098,0.17820557131413864,0.226123595505618,0.7018,0.3747493582671138
20162017,Nick Bjugstad,FLA,C,0.0562,0.12815656565656566,0.4296754250386398,0.5953658536585366,0.2942420681552092,0.10252808988764045,0.6296,0.3747272822042651
20142015,Matt Hunwick,NYR,D,0.0087,0.20012626262626262,0.4250386398763524,0.4407317073170732,0.36044100367742304,0.0702247191011236,0.5928,0.3746208711248681
20112012,Anton Volchenkov,NJD,D,0.0661,0.12563131313131315,0.3230293663060278,0.2873170731707317,0.5363447846824447,0.05617977528089888,0.347,0.3745782114863143
20152016,Erik Gudbranson,FLA,D,0.035,0.12058080808080808,0.28902627511591966,0.34,0.5335245731665814,0.06601123595505617,0.3282,0.37455338380650927
20192020,Brett Kulak,MTL,D,0.0227,0.15404040404040403,0.4188562596599691,0.43,0.39774659571446774,0.05056179775280899,0.509,0.374451438395691
20162017,William Karlsson,CBJ,C,0.0137,0.15025252525252525,0.34930448222565685,0.3980487804878049,0.44940899965446196,0.16853932584269662,0.3753,0.3744253601487276
20162017,Colton Sceviour,FLA,C,0.013,0.11679292929292931,0.3230293663060278,0.38878048780487806,0.48520080168666824,0.030898876404494385,0.4197,0.3744238277945793
20132014,Anton Belov,EDM,D,0.0143,0.1470959595959596,0.42194744976816073,0.4292682926829269,0.3940899979263988,0.06460674157303371,0.5119,0.37434199946566643
20212022,Philip Tomasino,NSH,C,0.0106,0.1900252525252525,0.43431221020092736,0.4407317073170732,0.36330268889204903,0.06882022471910113,0.569,0.3743158203988452
20192020,Jordan Weal,MTL,C,0.0172,0.14204545454545456,0.5193199381761978,0.5836585365853658,0.27632543028972467,0.036516853932584276,0.6045,0.37419829298757384
20142015,Trevor Lewis,LAK,C,0.0221,0.12121212121212122,0.3323029366306028,0.44341463414634147,0.4267712725514029,0.08286516853932585,0.5098,0.37408236459100025
20202021,Vince Dunn,STL,D,0.023,0.1553030303030303,0.3323029366306028,0.5587804878048781,0.34295983964894683,0.11797752808988765,0.6208,0.373988856178834
20202021,Rasmus Ristolainen,BUF,D,0.0663,0.1628787878787879,0.35394126738794435,0.3980487804878049,0.4525679131817996,0.09971910112359551,0.3955,0.37381759073912796
20222023,Derek Stepan,CAR,C,0.0091,0.13131313131313133,0.5069551777434311,0.6158536585365854,0.2745973594941212,0.09129213483146069,0.5397,0.37378372623504863
20172018,Victor Mete,MTL,D,0.01,0.1887626262626263,0.47140649149922714,0.4963414634146342,0.31642358469629966,0.06320224719101124,0.6051,0.37343449872403023
20112012,Lars Eller,MTL,C,0.0131,0.12184343434343435,0.29675425038639874,0.3182926829268293,0.5013340705053569,0.08988764044943821,0.4519,0.3733747361500154
20162017,Markus Nutivaara,CBJ,D,0.0112,0.13888888888888892,0.3601236476043277,0.5051219512195122,0.361339600456299,0.08426966292134831,0.613,0.37330441978866213
20222023,Jon Merrill,MIN,D,0.0145,0.1369949494949495,0.34775888717156106,0.3507317073170732,0.458215248634899,0.07724719101123596,0.488,0.3732176696076595
20142015,David Rundblad,CHI,D,0.0083,0.211489898989899,0.3879443585780525,0.6207317073170732,0.25978433678036084,0.1558988764044944,0.6945,0.3731819020636511
20152016,Martin Marincin,TOR,D,0.0098,0.125,0.321483771251932,0.44439024390243903,0.45173843920654566,0.04494382022471911,0.4425,0.37317039835416926
20172018,MacKenzie Weegar,FLA,D,0.009,0.10416666666666667,0.40649149922720246,0.48878048780487804,0.362293495527841,0.08286516853932585,0.5748,0.37310164915183014
20162017,Nikita Tryamkin,VAN,D,0.0127,0.10606060606060606,0.2952086553323029,0.42,0.45789728347280595,0.07724719101123596,0.4877,0.37308712421838264
20202021,Brian Dumoulin,PIT,D,0.0503,0.1900252525252525,0.4003091190108191,0.4917073170731708,0.37989908065260525,0.10674157303370788,0.4338,0.3730324214845081
20202021,Brady Skjei,CAR,D,0.0644,0.12310606060606061,0.38176197836166925,0.42341463414634145,0.4467961566324121,0.04494382022471911,0.3905,0.3730088046201252
20112012,Andy Greene,NJD,D,0.0467,0.16666666666666669,0.3075734157650695,0.3897560975609756,0.45269233427808764,0.08848314606741574,0.4883,0.37296994442612685
20122013,Jonas Brodin,MIN,D,0.0127,0.13446969696969696,0.32612055641421944,0.45951219512195124,0.43290246754690914,0.08146067415730338,0.4505,0.3729413423119513
20172018,Shea Weber,MTL,D,0.1048,0.16098484848484848,0.4976816074188563,0.5995121951219512,0.273007534388709,0.12921348314606743,0.5305,0.37284075802536704
20122013,Derick Brassard,NYR,C,0.0456,0.20454545454545459,0.3693972179289026,0.5360975609756098,0.32238888506264984,0.17275280898876405,0.5901,0.3727239868164699
20112012,Steve Montador,CHI,D,0.0428,0.20265151515151517,0.4296754250386398,0.48243902439024394,0.31799267299380407,0.07865168539325844,0.6658,0.37267206790051494
20222023,Joel Edmundson,MTL,D,0.0424,0.14267676767676768,0.31993817619783615,0.3690243902439025,0.4946637174259356,0.07162921348314608,0.3508,0.3726310466591728
20152016,Nikolai Kulemin,NYI,LW,0.0586,0.1527777777777778,0.32612055641421944,0.37658536585365854,0.4720329023295124,0.0955056179775281,0.3959,0.37260022735025433
20122013,Nazem Kadri,TOR,C,0.0124,0.26073232323232326,0.43585780525502316,0.484390243902439,0.31922997165973327,0.14185393258426968,0.558,0.3725582821592232
20162017,Ryan Murray,CBJ,D,0.0387,0.15151515151515152,0.3230293663060278,0.4085365853658537,0.45587889666144243,0.08848314606741574,0.4223,0.3725088692444354
20182019,Dion Phaneuf,LAK,D,0.0881,0.12058080808080808,0.3616692426584235,0.4195121951219512,0.4164581459875003,0.060393258426966294,0.5424,0.3724921731681903
20122013,Marc Methot,OTT,D,0.0427,0.13383838383838387,0.3601236476043277,0.4187804878048781,0.43295776608841735,0.12780898876404495,0.4147,0.3724661560402196
20152016,Oscar Lindberg,NYR,C,0.0091,0.16919191919191923,0.3987635239567233,0.45951219512195124,0.3430842607452349,0.14747191011235958,0.6161,0.37242890737969375
20132014,Andrej Meszaros,PHI,D,0.0558,0.18434343434343434,0.3616692426584235,0.4778048780487805,0.3832515379969056,0.03932584269662922,0.5613,0.37232350758849225
20172018,Calle Jarnkrok,NSH,C,0.0267,0.16477272727272727,0.34775888717156106,0.42536585365853663,0.44767401672780155,0.06741573033707865,0.3905,0.37213115282562265
20212022,Marco Scandella,STL,D,0.0402,0.19065656565656566,0.37712519319938176,0.2478048780487805,0.5261837284855844,0.0955056179775281,0.2606,0.3720827701064908
20162017,Stephen Johns,DAL,D,0.0099,0.12563131313131315,0.34930448222565685,0.40487804878048783,0.46151931969316906,0.032303370786516857,0.4157,0.37207091976311335
20122013,Erik Karlsson,OTT,D,0.0926,0.18055555555555555,0.4868624420401855,0.6941463414634147,0.1911315407341963,0.23735955056179775,0.6293,0.3720428203280721
20122013,Valtteri Filppula,DET,C,0.0427,0.11931818181818182,0.3941267387944358,0.6124390243902439,0.30194235157264093,0.06741573033707865,0.6394,0.37202563310890097
20162017,Jakob Chychrun,ARI,D,0.0127,0.13005050505050506,0.2952086553323029,0.39902439024390246,0.46971037519880143,0.07584269662921349,0.4478,0.37200311020982696
20162017,Chris Tierney,SJS,C,0.0097,0.12626262626262627,0.3523956723338485,0.3407317073170732,0.4842123453377363,0.06320224719101124,0.3936,0.3719791583170811
20142015,Lars Eller,MTL,C,0.0507,0.13320707070707072,0.3230293663060278,0.33219512195121953,0.4946429805765543,0.11235955056179776,0.3712,0.37192461246694064
20192020,Tucker Poolman,WPG,D,0.0095,0.19065656565656566,0.3044822256568779,0.485609756097561,0.41215179373755273,0.06179775280898877,0.5023,0.37185055872868045
20172018,Antoine Vermette,ANA,C,0.0233,0.14204545454545456,0.4234930448222566,0.5719512195121951,0.3646367595079333,0.042134831460674156,0.3963,0.37179551325610066
20192020,Cody Ceci,TOR,D,0.0552,0.1452020202020202,0.36785162287480677,0.351219512195122,0.4767470795604511,0.08426966292134831,0.3494,0.37176375447393895
20152016,Thomas Hickey,NYI,D,0.0308,0.14772727272727273,0.3369397217928903,0.39048780487804885,0.44721089362003913,0.10112359550561797,0.4472,0.37169573966071934
20202021,Noah Hanifin,CGY,D,0.0607,0.1452020202020202,0.4095826893353941,0.44804878048780494,0.38971452270693446,0.05196629213483146,0.5053,0.3715841209567231
20192020,Travis Dermott,TOR,D,0.0106,0.19128787878787878,0.38639876352395675,0.3909756097560976,0.4016727725030204,0.11235955056179776,0.5108,0.3715409364761196
20202021,Nicolas Hague,VGK,D,0.0097,0.16856060606060608,0.42040185471406494,0.47512195121951223,0.34463261215188434,0.07303370786516855,0.5973,0.3714885708697911
20192020,Blake Coleman,TBL,C,0.0221,0.1786616161616162,0.38485316846986095,0.36878048780487804,0.4572890024193741,0.06601123595505617,0.3629,0.3714880914679121
20152016,Brandon Manning,PHI,D,0.0088,0.0984848484848485,0.33384853168469864,0.5090243902439024,0.38353494159129276,0.09269662921348315,0.561,0.37148141567368015
20112012,Brayden Schenn,PHI,C,0.0135,0.16856060606060608,0.4868624420401855,0.49317073170731707,0.3160019354531947,0.04775280898876405,0.5894,0.37137667746408914
